Symblos	Expression
LHY	0.0
PRR95	0.08751909292046423
PRR73	1.3459097434519298
PRR59	2.872840470295389
PRR37	0.7424175418064807
TOC1	1.3942752138551335
ZTL1	2.3682330610367455
ZTL2	6.565340811424168
FKF1	2.6938251461935865
PCL1	4.378208798311403
GI	8.492177815638588
ELF3.1	0.5192377672146442
ELF3.2	7.93111227662416
COR1	2.6474474747951264
COR2	0.28317843359654726
COR3	1.6027889584366983
